window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,rn
W1,49.230.121.105,13,5,0,1,1,578,399,4257.2867048593,-841.9036769467,-841.9036769467,0.005009599961340427,0.10272129625082016,7649
W1,49.230.121.78,9,5,0,3,3,459,200,6892.7737072653,420.8935040668,419.9886487969,0.009733200073242188,0.6448712944984436,7650
W1,49.230.122.124,8,5,0,1,1,229,122,2777.7189345804,-356.3642263240,-360.5318557750,0.007796050049364567,0.05820078030228615,7651
W1,49.230.122.57,12,5,0,2,2,390,253,7268.8749782485,-308.0097520574,-313.3957409236,0.00552834989503026,0.12288050353527069,7652
W1,49.230.122.86,8,5,2,4,4,421,244,2929.7403797646,-639.6200331633,-639.6200331633,0.007454200182110071,0.3171123266220093,7653
W1,49.230.122.90,8,5,1,2,2,321,284,100553.9279829059,5528.6212372179,5474.2961892552,0.012719649821519852,0.31469911336898804,7654
W1,49.230.123.107,6,5,0,1,1,230,173,2734.0591818284,-826.3945576577,-826.3945576577,0.018758151680231094,0.08413286507129669,7655
W1,49.230.123.113,11,5,2,2,2,491,260,10874.5713814878,-1364.2221054402,-1405.3830423651,0.003353100037202239,0.22220638394355774,7656
W1,49.230.123.117,11,5,1,1,1,342,284,3660.6787362785,-348.8764852112,-349.0445347858,0.026741700246930122,0.7428569793701172,7657
W1,49.230.123.124,12,5,1,2,2,391,302,11732.4637071545,1101.1644062189,1056.0317585580,0.0073621999472379684,0.08562338352203369,7658
W1,49.230.123.126,13,5,0,2,2,365,219,2218.7781473614,-210.1734413489,-210.1734413489,0.013953500427305698,0.6373913288116455,7659
W1,49.230.123.90,9,5,1,1,1,374,204,4240.2168183944,-107.5114700348,-112.3613807585,0.010874300263822079,0.2038460224866867,7660
W1,49.230.124.4,7,5,2,3,3,875,617,128779.1635867371,16929.9547018454,16929.9547018454,0.03999049961566925,0.8904882669448853,7661
W1,49.230.125.70,10,5,2,2,2,404,340,104733.4222778782,3504.2910626447,3503.6231732006,0.004773799795657396,0.1422165483236313,7662
W1,49.230.126.33,6,5,1,3,3,551,436,12245.2704276662,541.5954496535,538.2796146870,0.02875624969601631,0.928468644618988,7663
W1,49.230.126.56,13,5,0,2,2,371,102,2583.6255431567,-27.8541952966,-27.8541952966,0.07189539819955826,0.6149183511734009,7664
W1,49.230.129.52,5,5,1,1,1,618,461,50037.3628155228,-1420.3401355448,-1420.3401355448,0.05555560067296028,0.08869270235300064,7665
