dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率,対打注额,種子注额,対打客数,对打局占比,异常对关联,風險單密度,赏,罚,综合分
2139,119538.9363659902,328,113,1,-32992.8611197295,113,0.1577368750865123,0.9823009,0.0,0.0,0.0,0.0,0.0,0.0,27.675585284280935,33.15217391304348,-5.476588628762542
2140,1446399.401413642,3410,1035,6,-27353.0358415796,1035,0.09235214941769,0.1004831,21106.3231026285,0.0,1.0,0.014592320130940445,0.0002932551319648094,0.0,23.91304347826087,29.389632107023417,-5.476588628762546
1108,1661818.9110670278,2689,971,3,-44841.9292085891,971,0.1361064674948537,0.1287333,12572.6820150683,0.0,3.0,0.007565614960414416,0.0011156563778356265,0.0,32.357859531772576,38.00167224080267,-5.643812709030094
2069,2123003.9979209625,4072,1197,7,-87045.6988427781,1197,0.0744294890226862,0.1236424,4172.0,0.0,2.0,0.001965139963978212,0.0004911591355599214,0.0,24.832775919732438,30.476588628762542,-5.6438127090301045
1400,86146278.89633471,60716,21421,4,-1579413.367834708,21421,0.1319151294367426,0.1856589,3510598.472642827,900823.7238920617,146.0,0.04075159737157484,0.0024046379866921406,0.0104569081268859,71.82274247491638,77.67558528428094,-5.85284280936456
1374,68680276.12303993,52812,17471,4,-809465.0711769279,17471,0.1325030339420502,0.166619,2908030.864595004,783369.3147726817,122.0,0.04234157211868659,0.0023100810421873815,0.01140603036262237,70.23411371237458,76.75585284280936,-6.521739130434781
2091,378818.4639574581,1187,267,3,5872.1123596699,267,0.135075181076482,0.1947566,0.0,0.0,0.0,0.0,0.0,0.0,22.157190635451503,28.88795986622074,-6.730769230769237
2287,28380913.661071137,23596,13325,5,-155597.4840765289,13325,0.0681639088432636,0.1347092,399893.5215963906,100611.610219528,32.0,0.014090227198883563,0.0013561620613663332,0.0035450447938726003,41.55518394648829,48.57859531772576,-7.023411371237465
1941,57703548.54031444,44606,27492,9,-1284267.7827728293,27492,0.1362130246862794,0.1097774,3394852.7582002436,601654.7337224936,120.0,0.05883265144133099,0.002690221046495987,0.010426650508367765,70.90301003344482,78.01003344481606,-7.1070234113712445
2233,90377261.85888176,63300,22079,4,-2962758.7407321366,22079,0.1323836967239054,0.1662213,4319959.573440959,1673049.9469724046,143.0,0.04779918626198585,0.002259083728278041,0.018511845928512016,74.74916387959867,82.02341137123746,-7.274247491638789
1402,86996038.28654043,62129,21382,4,-1052475.7600913097,21382,0.133442051862273,0.1923113,3853703.723016425,1024232.5471290752,155.0,0.04429746226286088,0.0024948091873360266,0.011773324019141444,75.50167224080268,83.11036789297658,-7.608695652173907
1283,2331374.881094206,4384,1194,4,-162823.3735958438,1194,0.0548286205420612,0.2252931,0.0,0.0,0.0,0.0,0.0,0.0,22.157190635451506,30.058528428093645,-7.901337792642138
1370,527079.2977602532,1243,371,5,14173.4284776313,371,0.053774692427351,0.083558,0.0,0.0,0.0,0.0,0.0,0.0,5.852842809364549,13.754180602006691,-7.901337792642143
1185,3174002.074349113,5055,1612,5,34639.1881086697,1612,0.0978496060873682,0.207196,36540.810961689494,0.0,5.0,0.011512535312121009,0.0009891196834817012,0.0,38.04347826086956,46.02842809364549,-7.984949832775925
2280,32582047.25885653,27891,16073,5,-448044.6423330184,16073,0.0700780949602361,0.1098115,1058805.4209571013,187561.5086614605,48.0,0.03249658968772425,0.0017209852640636765,0.005756590651634915,42.97658862876254,51.42140468227425,-8.444816053511708
1114,3395533.560747036,5204,1449,6,57446.3286315235,1449,0.0799081688829689,0.2760524,8437.1619453242,3818.371089023,1.0,0.002484782374958467,0.0001921598770176787,0.0011245275656126743,34.531772575250834,43.1438127090301,-8.612040133779267
2104,1433296.218761248,3225,922,4,32368.5466534527,922,0.0839176138471362,0.2114967,0.0,0.0,0.0,0.0,0.0,0.0,20.568561872909697,29.47324414715719,-8.904682274247492
598,2164148.655072131,4285,1293,4,-133663.7187038739,1293,0.0692127686436053,0.136891,10715.868579307,0.0,2.0,0.004951539975866325,0.0004667444574095683,0.0,24.581939799331106,33.98829431438127,-9.406354515050165
