uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
135910827,-1,8898.0000000000,-1429.5000000000,-1429.5000000000,0.4700000,222,222,0.501064915315,-0.8786504839088759,-1599.5000000000,-1599.5000000000,24794.0000000000,0.5107034,0.5286344
148189395,1485,13058.5284224847,-790.1214081064,-790.1214081064,0.4575163,173,168,0.493033333929,-0.8787272092754387,-13226.4268686691,-13226.4268686691,1483149.2223973862,0.4984217,0.4987593
130221956,2134,2544.6232814618,-388.6929855973,-369.8413211820,0.4333333,67,65,0.490043789231,-0.8787288322441342,1578.0393016935,-474.7538995534,283308.3005696937,0.5061077,0.5067189
120316504,2117,2243.6278752162,-210.4080900758,-210.4080900758,0.4694836,235,235,0.499588637021,-0.8787383301220765,-4484.9456317031,-4484.9456317031,417644.2511785636,0.5005332,0.5007105
149635597,2244,2440.0000000000,395.5000000000,395.5000000000,0.3846154,31,30,0.470636976667,-0.8787681869330304,-9084.4500000000,-9084.4500000000,585516.0000000000,0.4908966,0.4918544
128607924,1951,1131.9753361195,-129.5711014339,-129.5711014339,0.3846154,30,30,0.470636976667,-0.8787681869330304,-1378.5021337631,-1378.5021337631,42942.5580063277,0.4817814,0.4853147
124073014,1994,59394.7128101300,2218.3227993659,2218.3227993659,0.4444444,61,61,0.504235640984,-0.8787790681033317,-272650.9420332956,-272650.9420332956,32980897.5612095857,0.5069132,0.5070491
117406515,1299,2114.1625039398,-175.4377405294,-175.4377405294,0.4242424,41,41,0.500731570732,-0.8787943282336425,-6816.0135120413,-6816.0135120413,315803.3785238265,0.4980137,0.4989035
150132692,1384,2704.4962370707,-206.1666101853,-206.1666101853,0.4720497,181,181,0.506678200000,-0.878851476833591,-5581.5962665001,-5581.5962665001,224251.4949284523,0.4990596,0.4994547
117190479,2209,375.2106077650,-20.9418168867,-20.9418168867,0.4444444,69,69,0.499807497101,-0.8788612800402898,-508.8107957683,-508.8107957683,56447.6616310286,0.4971465,0.4974997
149873169,2188,691.3418233723,-58.3735116372,-58.3735116372,0.4444444,69,69,0.499807497101,-0.8788612800402898,-85.3862399245,-85.3862399245,190331.2984874193,0.5007928,0.5010020
