member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
149207664,2026-05-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,3.6324010171,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149209014,2026-08-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,100.0000000000,100.0000000000,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149209475,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,1,2,0E-7,52.3519095360,78.5278643040,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149211428,2026-07-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,87.7125659214,87.7125659214,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149213217,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,26.1759547680,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149214314,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,1,2,0E-7,21.0823688150,31.6235532225,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149215423,2026-04-01,游戏输赢为零,有值,4,4,1,3,0,0,0,4,0E-7,104.7038190720,104.7038190720,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149215713,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,7.8527864304,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149216172,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,84.3294752598,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149217253,2026-04-01,游戏输赢为零,有值,4,4,1,3,0,0,2,2,0E-7,52.3519095360,78.5278643040,0E-10,0E-10,3,0,0,2,0E-7,两者皆低·判UNKNOWN
149217519,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,5.2351909536,5.2351909536,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149218218,2026-05-01,游戏输赢为零,有值,4,4,2,2,0,0,0,4,0E-7,830.2630896166,830.2630896166,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149219874,2026-04-01,游戏输赢为零,有值,3,3,1,2,0,0,1,2,0E-7,43.0895184746,64.6342777119,0E-10,0E-10,3,0,0,1,0E-7,两者皆低·判UNKNOWN
149219915,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,7.8527864304,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
