日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-06-19,935986,98461211.0705982739,88930805.5535933443,-1946179.9071490631,82918.5039978308,88930805.5535933443,-1863261.4031508018,4.305E-7,-88930805.5535929138,-88847887.0495950830,-0.021884204186,-0.019765955405,86363,0
2026-06-20,916314,89362067.6166119036,80408252.7799321197,-1274810.9067073352,59634.4409403150,80408252.7799321197,-1215176.4657665681,4.521E-7,-80408252.7799316676,-80348618.3389913526,-0.015854229667,-0.014265682752,77721,0
2026-06-21,771127,82054141.3674202507,72498011.3472113272,-1185001.9863848615,50711.6610728114,72498011.3472113272,-1134290.3253118662,1.839E-7,-72498011.3472111433,-72447299.6861383319,-0.016345303331,-0.014441708446,71895,0
2026-06-22,770086,79350799.6715898136,71414113.3797433636,-2198616.4369481654,82621.0471934793,71414113.3797433636,-2115995.3897542788,4.073E-7,-71414113.3797429563,-71331492.3325494770,-0.030786861769,-0.027707552363,75230,0
2026-06-23,895772,108136688.5179442592,97545977.8979204984,-3088384.1940212053,156210.5579535611,97545947.8979204984,-2932173.6360672801,3.641E-7,-97545947.8979201343,-97389737.3399665732,-0.031660805095,-0.028560003421,89155,3
2026-06-24,876050,101736923.8777710941,91332669.7427231172,-1982090.6262357528,89463.1354770749,91332669.7427231172,-1892627.4907583729,3.050E-7,-91332669.7427228122,-91243206.6072457373,-0.021701879862,-0.019482509896,85979,0
2026-06-25,883823,104156381.3753706232,94329041.5518516102,-3024455.7528051394,70451.4211004488,94329041.5518516102,-2954004.3317043272,3.634E-7,-94329041.5518512468,-94258590.1307507980,-0.032062827132,-0.029037642369,71535,0
2026-06-26,867446,119552396.7578326321,107844801.3357917255,-1476604.9114945783,101690.6745388493,107844801.3357917255,-1374914.2369554418,2.872E-7,-107844801.3357914383,-107743110.6612525890,-0.013691943359,-0.012351110907,83552,0
2026-06-27,891559,104708614.4660419766,93958826.5837137171,-1999943.6118268801,76914.0512718915,93957535.6638690389,-1923029.5605547719,2.167E-7,-93957535.6638688222,-93880621.6125969307,-0.021285319161,-0.019100086674,82541,0
2026-06-28,773802,83023193.2926237529,74486772.8158171858,-1294477.7787009119,66402.7690414001,74486772.8158171858,-1228075.0096593181,1.937E-7,-74486772.8158169921,-74420370.0467755920,-0.017378626161,-0.015591760897,73360,0
2026-06-29,798253,89495830.0831874796,81043288.5357426548,-1599100.6567692249,53861.6127972839,81043288.5357426548,-1545239.0439715017,4.393E-7,-81043288.5357422155,-80989426.9229449316,-0.019731438416,-0.017867878931,79446,0
2026-06-30,969741,118246196.7630240809,106391133.7023073397,-713898.0002102430,81376.8662695848,106391133.7023073397,-632521.1339404719,1.863E-7,-106391133.7023071534,-106309756.8360375686,-0.006710126825,-0.006037386569,84256,0
2026-07-01,989913,136486610.8159066388,122928597.9584427326,-1824544.8325258645,92050.3732795989,122928597.9584427326,-1732494.4592462612,4.4E-9,-122928597.9584427282,-122836547.5851631293,-0.014842313854,-0.013367940061,90220,0
2026-07-02,964686,103771285.6057485618,93816341.9954753336,-2412220.1874456788,66241.7170729375,93816341.9954753336,-2345978.4703727220,1.93E-8,-93816341.9954753143,-93750100.2784023768,-0.025712153513,-0.023245545946,88453,0
2026-07-03,944494,103338380.4203409923,92600672.0095708400,-1684298.1676981262,68002.9274874219,92600672.0095708400,-1616295.2402106778,2.65E-8,-92600672.0095708135,-92532669.0820833916,-0.018188833095,-0.016298863606,83662,0
2026-07-04,912840,129328757.4598786728,116361269.3220518318,-2769809.4306353399,68069.3569210968,116361269.3220518318,-2701740.0737142216,2.15E-8,-116361269.3220518103,-116293199.9651307135,-0.023803534000,-0.021416810035,79291,0
2026-07-05,821837,88446617.7424146346,79643284.9735340218,-1395825.6012305861,74720.0155959795,79643258.4027945377,-1321105.5856346006,6.0E-9,-79643258.4027945317,-79568538.3871985522,-0.017525967214,-0.015781559961,80105,0
