IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
136.158.41.164,104,2096,46,24488.961662419973,-566.1350494007172,-566.1350494007172,1.6165386589397354e-05,1.761476747962218e-06,44
14.239.237.165,104,384,9,5973.717501871788,-61.97557638189654,-61.97557638189654,2.961597543095698e-06,4.296860203178689e-07,44
14.191.155.124,103,136,14,2168.154333429312,123.68138627856449,123.68138627856449,1.0488991298463932e-06,1.5595407828948554e-07,44
116.99.168.167,102,231,4,1960.7181775725187,-42.55098334284672,-42.55098334284672,1.781586022018506e-06,1.410333164268407e-07,44
113.185.109.171,100,532,8,15402.098927774272,-157.0228351621824,-157.02283516218216,4.103046596163832e-06,1.1078640044065954e-06,44
42.117.214.100,100,210,1,12557.409931339524,-963.2653586031319,-963.2653586031319,1.61962365638046e-06,9.032471818773948e-07,44
58.136.234.233,99,6303,17,20437.62576654266,-2267.9131172715115,-2267.9131172715115,4.8611847172219236e-05,1.4700665168080006e-06,44
103.199.33.74,99,1387,71,62714.328457233285,-5809.98692215277,-5809.98692215277,1.0697228625712847e-05,4.5110051158684024e-06,44
122.155.14.53,99,556,32,11070.946784699663,-1329.2945070989058,-1290.808486032506,4.288146442607313e-06,7.963267535798186e-07,44
21.170.232.48,99,260,14,6452.111090752034,-226.12098526293724,-226.12098526293724,2.0052483364710455e-06,4.640965925096618e-07,44
124.122.5.44,96,481,7,5201.436967131366,-55.64830588337085,-55.64830588337085,3.7097094224714343e-06,3.7413633129464504e-07,44
60.54.61.113,95,2575,47,525251.4585866671,-10132.598806520053,-8186.329117493258,1.9859671024665165e-05,3.778103146584063e-05,44
49.48.233.17,94,1980,68,44496.36036866178,-5847.886473058248,-5747.623400135443,1.5270737331587196e-05,3.2005972829229343e-06,44
116.98.249.77,94,1087,25,12269.232618282476,-388.8761906933869,-388.8761906933869,8.383480545169333e-06,8.82518755607726e-07,44
103.199.33.77,93,1486,67,57475.10502451593,-2328.55410627705,-2328.5541062770503,1.1460765492292208e-05,4.134150826114149e-06,44
27.74.241.171,92,835,62,10844.347862898203,56.04402973318399,56.04402973318399,6.4399321575127815e-06,7.800276251247685e-07,44
116.99.254.141,92,349,4,13593.029587249335,-212.9252575026668,-212.9252575026668,2.691660267032288e-06,9.777387004956447e-07,44
104.28.222.75,91,1499,81,201215.43608380685,887.1063015421865,887.1063015421865,1.156102790911576e-05,1.4473309112840457e-05,44
49.48.233.63,90,3991,79,171259.88693083182,-1866.4707607154817,-1790.632991602794,3.078056196483055e-05,1.231862391087953e-05,44
49.48.233.101,90,3168,79,64650.67213124921,-11841.207695626728,-11839.323344852197,2.443317973053951e-05,4.6502851884521625e-06,44
49.48.233.145,90,2238,74,45434.127621915024,-1724.550825970403,-1713.2805941018244,1.7260560680854616e-05,3.2680503352155056e-06,44
104.28.119.138,90,1976,100,241965.48810184267,-4733.001643425559,-4733.001643425559,1.5239887357179947e-05,1.74044366182656e-05,44
103.199.33.80,90,1860,61,135920.0177798238,325.4902736939617,325.4902736939617,1.4345238099369789e-05,9.776647707737546e-06,44
43.217.173.169,90,192,82,3440.036669996471,-237.87660454844567,-237.87660454844567,1.480798771547849e-06,2.4743983390830967e-07,44
49.48.233.191,87,3814,79,164056.27538198282,-303.88786559466917,-224.0341560038803,2.9415450597309877e-05,1.1800472328155556e-05,44
103.199.32.199,86,1741,60,253446.11648806455,-56730.469371404084,-56730.469371404084,1.3427451360754194e-05,1.8230231530810146e-05,44
103.199.32.124,86,1351,59,71532.97761577318,3634.853390605658,3634.853390605658,1.0419578856047625e-05,5.1453254131247115e-06,44
103.199.33.117,86,1110,59,82505.59132978704,-7858.663712625528,-7858.663712625528,8.560867898011003e-06,5.93457912620749e-06,44
184.22.175.158,86,231,8,527.2555403844134,-102.06911038756434,-102.06911038756434,1.781586022018506e-06,3.7925183902207984e-08,44
103.199.33.86,85,1418,57,62671.637458664256,2993.521980110398,2993.521980110398,1.0936315927369011e-05,4.507934377208133e-06,44
184.22.79.75,85,382,8,787.5223190841299,-18.380422224556256,-18.380422224556256,2.9461725558920747e-06,5.664602169297918e-08,44
157.66.172.40,85,154,8,3679.6636579958467,116.79197984474402,123.48395463785008,1.187724014679004e-06,2.646760635763425e-07,44
49.48.233.229,84,2808,72,86555.4333906097,1605.838747369413,1611.5778456761714,2.1656682033887294e-05,6.22588190667636e-06,44
49.48.233.62,84,2357,68,50848.60629243851,-657.961888569213,-616.2524890704902,1.817834741947021e-05,3.6575106321418727e-06,44
103.199.33.197,84,1809,57,221226.3369998794,4409.508706410132,4437.071152577226,1.3951900925677391e-05,1.591268155971432e-05,44
163.47.15.8,84,310,40,1934.885484128675,26.515967336648853,26.515967336648853,2.3908730165616313e-06,1.3917518583454224e-07,44
49.48.233.172,83,3177,71,90929.30862953539,-2032.2279126202266,-2027.5032245690797,2.4502592172955816e-05,6.540492204902207e-06,44
49.48.233.147,82,3029,66,99928.15459268352,105.74291290608562,121.02405793829757,2.336114311988768e-05,7.187773953352326e-06,44
